Age,Prob
AGE_0_9,0.09
AGE_10_19,0.8
AGE_20_29,0.97
AGE_30_39,0.96
AGE_40_49,0.94
AGE_50_59,0.86
AGE_60_69,0.7
AGE_70_79,0.48
AGE_80,0.32
