,,SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED
0,SUSCEPTIBLE,0,0.456,0.533,0.011,0,0,0,0,0,0,0
0,ASYMPTOMATIC,0,0,0,0,0,0,0,0,0,0,1
0,PRESYMPTOMATIC_MILD,0,0,0,0,1,0,0,0,0,0,0
0,PRESYMPTOMATIC_SEVERE,0,0,0,0,0,1,0,0,0,0,0
0,MILD_SYMPTOMS,0,0,0,0,0,0,0,0,0,0,1
0,SEVERE_SYMPTOMS,0,0,0,0,0,0,0.001,0,0,0,0.999
0,HOSPITALIZED,0,0,0,0,0,0,0,0.05,0,0,0.95
0,CRITICAL_ICU,0,0,0,0,0,0,0,0,0.33,0.67,0
0,DEATH,0,0,0,0,0,0,0,0,1,0,0
0,HOSPITALIZED_RECOVERING,0,0,0,0,0,0,0,0,0,0,1
0,RECOVERED,0,0,0,0,0,0,0,0,0,0,1
1,SUSCEPTIBLE,0,0.412,0.569,0.019,0,0,0,0,0,0,0
1,ASYMPTOMATIC,0,0,0,0,0,0,0,0,0,0,1
1,PRESYMPTOMATIC_MILD,0,0,0,0,1,0,0,0,0,0,0
1,PRESYMPTOMATIC_SEVERE,0,0,0,0,0,1,0,0,0,0,0
1,MILD_SYMPTOMS,0,0,0,0,0,0,0,0,0,0,1
1,SEVERE_SYMPTOMS,0,0,0,0,0,0,0.006,0,0,0,0.994
1,HOSPITALIZED,0,0,0,0,0,0,0,0.05,0,0,0.95
1,CRITICAL_ICU,0,0,0,0,0,0,0,0,0.25,0.75,0
1,DEATH,0,0,0,0,0,0,0,0,1,0,0
1,HOSPITALIZED_RECOVERING,0,0,0,0,0,0,0,0,0,0,1
1,RECOVERED,0,0,0,0,0,0,0,0,0,0,1
2,SUSCEPTIBLE,0,0.37,0.597,0.033,0,0,0,0,0,0,0
2,ASYMPTOMATIC,0,0,0,0,0,0,0,0,0,0,1
2,PRESYMPTOMATIC_MILD,0,0,0,0,1,0,0,0,0,0,0
2,PRESYMPTOMATIC_SEVERE,0,0,0,0,0,1,0,0,0,0,0
2,MILD_SYMPTOMS,0,0,0,0,0,0,0,0,0,0,1
2,SEVERE_SYMPTOMS,0,0,0,0,0,0,0.015,0,0,0,0.985
